id;tipoEquipamiento;postalCode;latitud;longitud
1714;moda-mujer--hombre--infantil;50001;41.64487353;-0.860504724
1715;electrodomesticos--electronica--moviles--mobiliario-cocina...;50001;41.64488426;-0.896726646
1716;moda-mujer--hombre--infantil;50001;41.64489759;-0.886807763
1717;droguerias;50001;41.64490349;-0.865855822
1718;supermercados-medianos;50001;41.64491031;-0.859888137
1719;moda-mujer--hombre--infantil;50001;41.64491384;-0.882844487
1720;joyerias--relojerias--bisuteria;50001;41.64491401;-0.893057949
1721;joyerias--relojerias--bisuteria;50001;41.64492054;-0.876238135
1722;centros-de-atencion;50001;41.64492859;-0.894663201
1723;farmacias;50005;41.64492908;-0.896365811
1724;residencias;50009;41.64493388;-0.911489741
1725;electrodomesticos--electronica--moviles--mobiliario-cocina...;50001;41.6449368;-0.883103331
1726;floristerias--viveros--semillas--clinicas-veterinaria;50001;41.64493811;-0.900756685
1727;moda-mujer--hombre--infantil;50001;41.64494921;-0.865481247
1728;electrodomesticos--electronica--moviles--mobiliario-cocina...;50001;41.64495097;-0.860291553
1729;supermercados-pequenos;50001;41.64495283;-0.875437153
1730;ferreterias--iluminacion--decoracion;50001;41.6449577;-0.864300778
1731;muebles;50001;41.64496012;-0.881843008
1732;ferreterias--iluminacion--decoracion;50001;41.64496178;-0.887535703
1733;cristalerias--carpinterias--puertas--persianas...;50001;41.64499047;-0.871221018
1734;puntos-de-recogida-urbana-de-aceite-vegetal-usado;50013;41.64499119;-0.860690661
1735;librerias--papelerias--quioscos-y-prensa;50001;41.64499402;-0.864490612
1736;panaderias--pastelerias;50001;41.64499605;-0.880622256
1737;juguetes--articulos-deporte;50001;41.64500392;-0.893133304
1738;muebles;50001;41.64501095;-0.866918034
1739;panaderias--pastelerias;50001;41.64501403;-0.888099416
1740;fruterias--verdulerias;50001;41.6450145;-0.910435899
1741;bazares;50001;41.64501784;-0.882945782
1742;moda-mujer--hombre--infantil;50001;41.64501804;-0.896551428
1743;calzados--complementos--maletas;50001;41.64502219;-0.88354348
1744;moda-mujer--hombre--infantil;50001;41.64503325;-0.880222515
1745;supermercados-grandes;50001;41.64503624;-0.875243135
1746;cuadros--artesania--otros-articulos-del-hogar;50001;41.64504017;-0.888286835
1747;antenas-en-centros-educativos-y-juveniles;50009;41.64504194;-0.903684404
1748;opticas--centros-auditivos--ortopedias;50001;41.64504662;-0.878118287
1749;moda-mujer--hombre--infantil;50001;41.6450501;-0.887421388
1750;otros-productos;50008;41.64505621;-0.876775443
1751;farmacias;50002;41.64506114;-0.859476096
1752;salud-y-bienestar;50008;41.64506922;-0.880067883
1753;muebles;50001;41.64506922;-0.880067883
1754;ferreterias--iluminacion--decoracion;50001;41.64507198;-0.864280311
1755;joyerias--relojerias--bisuteria;50001;41.64507351;-0.878949507
1756;panaderias--pastelerias;50006;41.64507481;-0.887706953
1757;juguetes--articulos-deporte;50001;41.64507944;-0.888502163
1758;electrodomesticos--electronica--moviles--mobiliario-cocina...;50001;41.64508018;-0.868429981
1759;moda-mujer--hombre--infantil;50001;41.64508566;-0.889864543
1760;moda-mujer--hombre--infantil;50001;41.64508716;-0.861650584
1761;transporte;50002;41.64509892;-0.859860156
1762;droguerias;50001;41.64509892;-0.859860156
1763;electrodomesticos--electronica--moviles--mobiliario-cocina...;50001;41.64510569;-0.880409493
1764;salas-de-exposiciones;50013;41.64510682;-0.870064489
1765;juguetes--articulos-deporte;50001;41.64510687;-0.883388214
1766;moda-mujer--hombre--infantil;50001;41.64511665;-0.891237763
1767;instalacion-deportiva-elemental;50013;41.64511856;-0.86873634
1768;recambios-automovil-y-accesorios;50001;41.64512917;-0.874643798
1769;textil-hogar;50001;41.64513451;-0.883060231
1770;calzados--complementos--maletas;50001;41.64513531;-0.86446517
1771;moda-y-complementos;50008;41.6451363;-0.884022075
1772;moda-mujer--hombre--infantil;50001;41.6451363;-0.884022075
1773;herboristerias--dieteticas;50001;41.64513641;-0.895333639
1774;moda-mujer--hombre--infantil;50001;41.64513688;-0.891809609
1775;moda-mujer--hombre--infantil;50001;41.64514115;-0.860270366
1776;textil-hogar;50001;41.6451481;-0.892474926
1777;muebles;50001;41.64514876;-0.88123478
1778;calzados--complementos--maletas;50002;41.64516013;-0.862353115
1779;hogares;50009;41.64516309;-0.903660062
1780;centros-educativos;50009;41.64516581;-0.900398074
1781;muebles;50001;41.6451686;-0.885961392
1782;muebles;50001;41.64517253;-0.879273694
1783;moda-y-complementos;50002;41.6451743;-0.860608833
1784;calzados--complementos--maletas;50001;41.6451743;-0.860608833
1785;panaderias--pastelerias;50001;41.64518302;-0.896884303
1786;calzados--complementos--maletas;50001;41.64518499;-0.874895676
1787;supermercados-grandes;50001;41.6451893;-0.864259262
1788;educacion-primaria;50006;41.64520022;-0.888996878
1789;centros-de-formacion-musical;50008;41.64520733;-0.884367359
1790;textil-hogar;50001;41.64520917;-0.862858559
1791;electrodomesticos--electronica--moviles--mobiliario-cocina...;50001;41.6452109;-0.865275803
1792;muebles;50018;41.64521449;-0.871304893
1793;moda-mujer--hombre--infantil;50001;41.64521657;-0.888666744
1794;joyerias--relojerias--bisuteria;50001;41.64522457;-0.883597608
1795;fruterias--verdulerias;50001;41.64522913;-0.863055298
1796;panaderias--pastelerias;50013;41.64523097;-0.878278414
1797;panaderias--pastelerias;50001;41.64523424;-0.892879284
1798;bibliotecas;50009;41.64523828;-0.900815014
1799;moda-mujer--hombre--infantil;50001;41.64524196;-0.895308588
1800;panaderias--pastelerias;50001;41.64525115;-0.889734503
1801;muebles;50001;41.6452595;-0.881335372
1802;salud-y-bienestar;50008;41.64526208;-0.882368874
1803;cristalerias--carpinterias--puertas--persianas...;50001;41.64526239;-0.863390402
1804;lencerias;50001;41.64526405;-0.892609468
1805;opticas--centros-auditivos--ortopedias;50001;41.64526434;-0.864245855
1806;concesionarios-de-automoviles-y-motocicletas;50001;41.64526843;-0.898194521
1807;otros-productos;50002;41.64526911;-0.860941057
1808;moda-mujer--hombre--infantil;50001;41.64527923;-0.896684131
1809;panaderias--pastelerias;50001;41.64529193;-0.863680961
1810;libreria;50005;41.64530024;-0.897585316
1811;panaderias--pastelerias;50001;41.64530396;-0.871103104
1812;carnicerias--charcuterias;50001;41.64530693;-0.864434162
1813;moda-mujer--hombre--infantil;50001;41.64530891;-0.887243143
1814;bazares;50001;41.64530913;-0.863850056
1815;tiendas-alimentacion;50001;41.64531262;-0.874604384
